product_id,product_title,rating,summary,review,location,date,upvotes,downvotes
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Fabulous!,Sound vocals are crysp & clear until 95% (volume)(5/5) Bass is also good(4.5/5) Battery backup is great(5/5) Quality of headphones is great(5/5) Overall it's a great product (for my POV)I literally loved it😍❤‍🔥It's not for pro gamers it's only for Oneplus & Music lovers🎶,Malda,5 months ago,649,99
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Mind-blowing purchase,Nice headphone value for money product bass is very good vocal clear build kawlity is very good  highly recommend...,Pune,7 months ago,338,52
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Great product,"Totally,Worth the amount!!! 💯💯💯I am fully satisfied with the product ❤😍.  It's worth evry penny, but i would have been more satisfied if there was a cover for the charging port as well🤧As dust can easily go inside the port.  Otherwise great product by oneplus 😄❤❤❤. Ordered and got it delivered before 24 hours. 😄💖I would submit another review after 1 month. Today's 4/7/22",Diphu,5 months ago,647,123
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4,Nice product,"👉Sound quality is excellent, Bass is awesome, balanced bass and treble,👉Build quality is good but One Plus Z Bass Edition has better build quality in comparison of this,👉Battery backup is awesome, as per commitment it is actual approximately 28 hours,👉Wire texture looks premium quality, very comfortable,👉Overall value for money neckband wireless earphone in this price segment, don't go with bad reviews, its really awesome..",Varanasi,7 months ago,2718,696
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Simply awesome,Excellent product. Superb bass. Worth for money. Full clear and crisp sound. Battery is very powerful.,Bengaluru,8 months ago,1679,452
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Simply awesome,"Writing this review after using this product for two weeks , so u can find ur neck band ,Prose :-* A loude and clear music* Amazing Bass quality , 12.4mm driv just blows up mind  clear Instrument sounds* Good batry back up * Nice build quality, and hand free usage design of buds is good fits in ear , * Clear voice calls Cons ;- * Heavy bass sometimes suppress vocals * Absence of Quick switch option ☹️* BLUTOOTH V5.OOver All Like me other bass or loud music lovers , Don't think jus...",Dharwad,7 months ago,556,140
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Simply awesome,Superb product actually I won’t prefer wireless headphones but i loved this one ❤️.. base i nice not too much high and vocals are superb just go for it,Bengaluru,8 months ago,790,207
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Must buy!,"Super Bass An Sound Quality Super 5 ster ,❤️❤️ OnePlus ❤️🔥🔥🔥😎🔥 Super Battery backup Super Powered bass boos an Sound",Purba Bardhaman District,4 months ago,127,26
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Mind-blowing purchase,"This is worth every penny you spend. I doesn't disappoint in any way. Delivery was 2 days and charged it before using and I have been using it for 10 hours straight and its still 90% charge. I don't know currently how much time it would last, though I won't count till then because I trust the brand and so far battery looks awesome.The sound quality is different from the boat rockerz I was using as it consists more mettalic type of bass and it feels amazing. Its easy to use, by just seperatin...",Ramanagara,8 months ago,708,204
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",3,Does the job,"As a matter of giving review about this product , i m using dis from three week so giving 3 out of 5 because one plus didn't improve the sound quality at all , they r giving same sound quality as the previous version except the bass , bass is Little bit high . And most of all the battery life is good from the last version ( base edition) but not as good as they are claiming 30 hours , it is hardly giving 15-16hours battery backup . That's why I am giving the 3 stars . For same sound quality a...",Hapur,8 months ago,153,40
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4,Good quality product,Actually nothing changed too much in sound .....there is change only in size of ear buds and button ....i have both OnePlus z bass edition and this new one ......but i found almost same ....even fitting of earbud is good of previous one. If you have z bass edition then i will not recommend you to upgrade ....but if you want more battery backup then you can go for it.,Ahmedabad,7 months ago,119,41
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Best in the market!,"Am never feel the experience of wireless earphones before it so it's my first bought to go for OnePlus brand even it's from china... Well i love the sound quality, still have to check the battery backup but it's works awesome... Very light weight... Price is need to little low but it's fine to go for it... And i loved it... 🤘😃",Rurki Kasba,6 months ago,192,72
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Classy product,Wireless Bullets are first impressions are impressive this price. Never come this price with this quality and sound was awesome.1. Sound was amazing I am Sony wire headset. Since 5 years I will see lot of head set i don't like 2. Build quality was good.3. Actually iam bass lover iam waiting for best bass in  wireless bullets with best quality this is right one for bass lovers.4. Price is worth bull.5. You can choose this one.,Thane District,8 months ago,270,138
